anid,remote,a1,a2,a3,a4,a5,a6
234,#84EBCAA5,0.68,1,0.54,0.775,0.65,
33,#8E12A63A,0.74,1,0.9,0.875,0.72,0.85
323,#81A2B497,0.76,1,0.76,0.95,0.76,1
197,#9072D230,0.94,1,0.84,0.575,0.94,0.9
209,#3BFB8040,0.78,0.7,0.72,0.7,,
196,#916E20DF,0.94,1,0.88,0.975,0.7,0.95
290,#821B3DA4,0.68,0.96,0.9,0.925,0.68,0.75
208,#84A496B6,0.92,1,0.9,1,1,0.95
338,#974B865A,0.46,0.86,0.44,0.15,,
319,#8618DF41,0.72,0.8,0.78,0.8,0.72,0.5
258,#9A4335EC,0.92,0.94,0.8,0.62,0.55,
